track,artist,play_count
we can't be friends (wait for your love),Ariana Grande,271
Delilah (pull me out of this),Fred again..,248
BIRDS OF A FEATHER,Billie Eilish,220
Espresso,Sabrina Carpenter,160
Nothing Sweeter,Naomi Sharon,153
i wish i hated you,Ariana Grande,150
MILLION DOLLAR BABY,Tommy Richman,147
intro (end of the world),Ariana Grande,145
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,132
Tummy Hurts,Reneé Rapp,127
Addicted,Zerb,124
Perfect Night,LE SSERAFIM,123
places to be,Fred again..,122
Cheerleader,Porter Robinson,116
eternal sunshine,Ariana Grande,111
imperfect for you,Ariana Grande,111
Don't Know Why,Norah Jones,108
Drop It Down,Eli Brown,106
Moonlight,Club 97,104
Saturn,SZA,104
Bed Chem,Sabrina Carpenter,102
Juno,Sabrina Carpenter,101
Lost,RSCL,99
Not Like Us,Kendrick Lamar,98
Rumble,Skrillex,98
next door (feat. ASTN),Amelia Moore,92
luther (with sza),Kendrick Lamar,89
bye,Ariana Grande,86
Apple featuring the japanese house,Charli xcx,86
Please Please Please,Sabrina Carpenter,84
Assume The Position,Bryson Tiller,83
ordinary things (feat. Nonna),Ariana Grande,83
Soul Tied,Kyle Dion,80
Tell Ur Girlfriend,Lay Bankz,79
I Like U,NIKI,79
7PM,Lilacs.,78
I Had Some Help (Feat. Morgan Wallen),Post Malone,78
Waterfall,Disclosure,77
Back To U,SLANDER,76
Breakfast in Bed,Rayana Jay,74
Everywhere,Babsy.,74
the boy is mine,Ariana Grande,74
Tip Toe,HYBS,74
In The Night,Fly By Midnight,72
Spite,Omar Apollo,72
Trouble,Rich,71
Where You Are,John Summit,71
"yes, and?",Ariana Grande,71
XO,Beyoncé,71
Please Don't Fall In Love With Me,Khalid,69
Cool,Gwen Stefani,68
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,67
Go Back (feat. Julia Church),John Summit,67
FAMJAM4000,Jordan Ward,67
Sugar Don't Be Sweet,Jaz Karis,67
Magnetic,ILLIT,66
supernatural,Ariana Grande,65
Space Makes Me Sad,Fiji Blue,65
Soft Spot,keshi,64
Best Time,Brent Faiyaz,63
Calling After Me,Wallows,63
LANSDOWNE,Liza,62
lowkey,NIKI,62
Rock Ur World,Knock2,60
Hell N Back (feat. Summer Walker),Bakar,60
In The Yuma (feat. Aatig),Chris Lake,60
Miss Independent,Ne-Yo,60
we're all eating each other,Juliet Ivy,59
Everything You Have Done,MEDUZA,59
My Love Mine All Mine,Mitski,59
Dream Girl,Ravyn Lenae,58
CHIHIRO,Billie Eilish,58
Love Me Like That,Sam Kim,58
Feel It - From The Original Series “Invincible”,d4vd,57
See You Again (feat. Kali Uchis),"Tyler, The Creator",57
don't wanna break up again,Ariana Grande,57
I Wish That You Would,The Strike,56
Love I,The Green,56
Die With A Smile,Lady Gaga,56
Nonsense,Sabrina Carpenter,56
Can You Love Me Tonight?,KAIRO,55
DEVIL IS A LIE,Tommy Richman,55
Whatever She Wants,Bryson Tiller,55
Hard Part's Over,Hoang,55
Beggin',Chris Lake,55
Lie To Girls,Sabrina Carpenter,54
"She’s Gone, Dance On",Disclosure,54
Losing Control,Odd Mob,53
Black Friday (pretty like the sun),Lost Frequencies,53
She's Gone,Kota the Friend,52
Lose Control,James Hype,52
Fool For You,Snoh Aalegra,51
Cigarette Daydreams,Cage The Elephant,51
Nasty,Tinashe,51
North Star,SABAI,51
Peak,Emotional Oranges,50
Taste,Sabrina Carpenter,50
dashstar* - VIP,Knock2,50
The Chase,Emmit Fenn,50
"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator",50
